original_filename,source_folder,relative_path,id3_title,id3_artist,id3_album,resolved_title,resolved_artist,resolved_album,title_source,artist_source,album_source,title_confidence,artist_confidence,metadata_status,duration_seconds,bitrate,sample_rate,file_hash,file_size,has_cover,normalized_title,normalized_artist,duplicate_status,duplicate_group,duplicate_confidence,review_reason
"Camionete Vai Pular - Jennifer e Stephany, Pedro Paulo & Alex.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Camionete Vai Pular - Jennifer e Stephany, Pedro Paulo & Alex.mp3",Camionete Vai Pular,"Jennifer e Stephany, Pedro Paulo & Alex",,Camionete Vai Pular,"Jennifer e Stephany, Pedro Paulo & Alex",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,138,192000,44100,0ba7d8fcaee74278dddbebf0746ad235ba9a73472205316ac8c694511a2ad09e,3368308,true,camionete vai pular,jennifer e stephany pedro paulo e alex,UNIQUE,,0,
"Carmed Chocolate - Pedro Paulo & Alex, Diego & Victor Hugo.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Carmed Chocolate - Pedro Paulo & Alex, Diego & Victor Hugo.mp3",Carmed Chocolate,"Pedro Paulo & Alex, Diego & Victor Hugo",,Carmed Chocolate,"Pedro Paulo & Alex, Diego & Victor Hugo",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,153,192000,44100,421d8d9993afdf5c51ef082867e5178a7140faede84f23c4e2ab39a53ed37e9d,3718974,true,carmed chocolate,pedro paulo e alex diego e victor hugo,UNIQUE,,0,
"Chapéu e Lingerie - Ao Vivo - Pedro Paulo & Alex, Farra dos Brabu, Bruno & Barretto, Loubet.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Chapéu e Lingerie - Ao Vivo - Pedro Paulo & Alex, Farra dos Brabu, Bruno & Barretto, Loubet.mp3",Chapéu e Lingerie - Ao Vivo,"Pedro Paulo & Alex, Farra dos Brabu, Bruno & Barretto, Loubet",,Chapéu e Lingerie - Ao Vivo,"Pedro Paulo & Alex, Farra dos Brabu, Bruno & Barretto, Loubet",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,198,192000,44100,658278dd3b9592dd6b11afa73ab7f0f9667bf4a85b01c7e9fd333150b1397ed1,4789974,true,chapeu e lingerie ao vivo,pedro paulo e alex farra dos brabu bruno e barretto loubet,UNIQUE,,0,
"Colinho do Vaqueiro (Pocotó) - Ao Vivo - Os Barões Da Pisadinha, Pedro Paulo & Alex.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Colinho do Vaqueiro (Pocotó) - Ao Vivo - Os Barões Da Pisadinha, Pedro Paulo & Alex.mp3",Colinho do Vaqueiro (Pocotó) - Ao Vivo,"Os Barões Da Pisadinha, Pedro Paulo & Alex",,Colinho do Vaqueiro (Pocotó) - Ao Vivo,"Os Barões Da Pisadinha, Pedro Paulo & Alex",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,158,192000,44100,6c5e277a48ad4da2589622bb823e0baca8c3912be73b8b1d3454e564afe23e07,3844658,true,colinho do vaqueiro pocoto ao vivo,os baroes da pisadinha pedro paulo e alex,UNIQUE,,0,
De 4 Paredes - Ao Vivo - Pedro Paulo & Alex.mp3,14 - Pedro Paulo e Alex,14 - Pedro Paulo e Alex/De 4 Paredes - Ao Vivo - Pedro Paulo & Alex.mp3,De 4 Paredes - Ao Vivo,Pedro Paulo & Alex,,De 4 Paredes - Ao Vivo,Pedro Paulo & Alex,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,163,192000,44100,06c9431d6c6fc5584746ca06c137b3f3e52023f3aa9b4a6b16adc2ca490448af,3978352,true,de 4 paredes ao vivo,pedro paulo e alex,UNIQUE,,0,
De Lance A Love - Ao Vivo Em Goiânia 2019 - Pedro Paulo & Alex.mp3,14 - Pedro Paulo e Alex,14 - Pedro Paulo e Alex/De Lance A Love - Ao Vivo Em Goiânia 2019 - Pedro Paulo & Alex.mp3,De Lance A Love - Ao Vivo Em Goiânia / 2019,Pedro Paulo & Alex,,De Lance A Love - Ao Vivo Em Goiânia / 2019,Pedro Paulo & Alex,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,163,192000,44100,c78469ae36215357f12b5860ad956b305cb45192d31ac860b255c164ac98bdcb,3967207,true,de lance a love ao vivo em goiania 2019,pedro paulo e alex,UNIQUE,,0,
Desbotequei (Ai Bebê) - Acústico Ao Vivo - Pedro Paulo & Alex.mp3,14 - Pedro Paulo e Alex,14 - Pedro Paulo e Alex/Desbotequei (Ai Bebê) - Acústico Ao Vivo - Pedro Paulo & Alex.mp3,Desbotequei (Ai Bebê) - Acústico / Ao Vivo,Pedro Paulo & Alex,,Desbotequei (Ai Bebê) - Acústico / Ao Vivo,Pedro Paulo & Alex,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,148,192000,44100,95d7b8a36acf65ab8324b2d3a8af05076030664abb65c13ce4f1e50d1a7435f6,3606861,true,desbotequei ai bebe acustico ao vivo,pedro paulo e alex,UNIQUE,,0,
"Desce Álcool - Ricco Montana, Pedro Paulo & Alex.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Desce Álcool - Ricco Montana, Pedro Paulo & Alex.mp3",Desce Álcool,"Ricco Montana, Pedro Paulo & Alex",,Desce Álcool,"Ricco Montana, Pedro Paulo & Alex",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,132,192000,44100,adaa8048a75b78b511e24e3f2253bac5196b83503165410b602ee63b3c29a442,3221885,true,desce alcool,ricco montana pedro paulo e alex,UNIQUE,,0,
"Desnamorei - Pedro Paulo & Alex, Edy Lemond.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Desnamorei - Pedro Paulo & Alex, Edy Lemond.mp3",Desnamorei,"Pedro Paulo & Alex, Edy Lemond",,Desnamorei,"Pedro Paulo & Alex, Edy Lemond",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,150,192000,44100,2be61bfa5cbd0cfe767ab03ed68299bb70eec5fe5cac7e011814b6a98d040546,3638460,true,desnamorei,pedro paulo e alex edy lemond,UNIQUE,,0,
"DNA - Matheus Vargas, Leonardo.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/DNA - Matheus Vargas, Leonardo.mp3",DNA,"Matheus Vargas, Leonardo",,DNA,"Matheus Vargas, Leonardo",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,156,192000,44100,cda8dd14da3b3d15c856a9e3c3443faafe5e9a36364f1fe889d35c6013dea6e8,3778412,true,dna,matheus vargas leonardo,LIKELY_DUPLICATE,25,0.96,
